# L TxT TxW1 TxW2 TxW3 W1xW1 W1xW2 W1xW3 W2xW2 W2xW3 W3xW3
8.500000000000000000e+01 2.625771527824105077e-13 9.786647482806871110e-12 9.825855878488454438e-12 7.845119988019802227e-12 3.369367699339983480e-06 5.862704449934248482e-07 1.416094298885112884e-09 2.811571939554146175e-06 4.194800018646506487e-07 1.434576254506172744e-06
8.600000000000000000e+01 2.597202056893854039e-13 9.451316489362946198e-12 9.495628033330650728e-12 7.596910862441147272e-12 3.329639834211035859e-06 5.803126152801924600e-07 1.393392574968378413e-09 2.780486550017811426e-06 4.149431786498008184e-07 1.421330935545034718e-06
8.700000000000000000e+01 2.569469941239730927e-13 9.130635384703186552e-12 9.180398583585271151e-12 7.358102994271554169e-12 3.290512672608016661e-06 5.745587908598796669e-07 1.370020973339768368e-09 2.750193822096077021e-06 4.104662931902217840e-07 1.408147866150625653e-06
8.800000000000000000e+01 2.542519790619022363e-13 8.823733328198727529e-12 8.879392349190575433e-12 7.128340722774482589e-12 3.251945134494654301e-06 5.690043028336288771e-07 1.346652638609492093e-09 2.720699614202424072e-06 4.060517446013511862e-07 1.395035326019812752e-06
8.900000000000000000e+01 2.516331260606966133e-13 8.529794939877688838e-12 8.591880585472971164e-12 6.907285917220320108e-12 3.213898891463084506e-06 5.636445916899081910e-07 1.323901883873411821e-09 2.692008076494430798e-06 4.017016289495312196e-07 1.382000765618631555e-06
9.000000000000000000e+01 2.490876977786413889e-13 8.248056332442393372e-12 8.317177773348694089e-12 6.694616919036384268e-12 3.176338164674642191e-06 5.584752066853864328e-07 1.302329011893835311e-09 2.664121824287941235e-06 3.974177666954611828e-07 1.369050877087510943e-06
9.100000000000000000e+01 2.466137901925830684e-13 7.977818515545218551e-12 8.054631607323326116e-12 6.490016473518325482e-12 3.139233072685564386e-06 5.534901744326825457e-07 1.282339844159001306e-09 2.637037362611653629e-06 3.932017837084122563e-07 1.356192533052490579e-06
9.200000000000000000e+01 2.442086455100502607e-13 7.718492263313752110e-12 7.803600318265841627e-12 6.293139466578712969e-12 3.102569453160750544e-06 5.486773867759764725e-07 1.263893165851526608e-09 2.610731845342504603e-06 3.890552925107915580e-07 1.343435317725261185e-06
9.300000000000000000e+01 2.418710358444868123e-13 7.469539041467190880e-12 7.563473312566299430e-12 6.103648463561039343e-12 3.066337107468625433e-06 5.440239515100721855e-07 1.246848660520256609e-09 2.585178738036376670e-06 3.849797289038120171e-07 1.330788711162063505e-06
9.400000000000000000e+01 2.395976334952187042e-13 7.230451003183093511e-12 7.333675941505143888e-12 5.921224066717956319e-12 3.030526102565673233e-06 5.395178306294554546e-07 1.231075755062092379e-09 2.560352693994852798e-06 3.809763143970867532e-07 1.318261259203373154e-06
9.500000000000000000e+01 2.373873660453689617e-13 7.000748973483359749e-12 7.113667096014845618e-12 5.745563776354845269e-12 2.995126765696436337e-06 5.351477796215398208e-07 1.216452912501418170e-09 2.536229488731272967e-06 3.770460753819840735e-07 1.305860649998444897e-06
9.600000000000000000e+01 2.352371425613559318e-13 6.779980584110306232e-12 6.902936983195001859e-12 5.576380934754254181e-12 2.960129678893549159e-06 5.309032915180947393e-07 1.202866980871079494e-09 2.512785958717589788e-06 3.731898606233933167e-07 1.293593784072620681e-06
