#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    60   0.219850E-09  -0.258075E-12   0.237398E-09   0.102420E-07  -0.258075E-12   0.281270E-13  -0.425822E-12   0.544203E-12   0.237398E-09  -0.425822E-12   0.128245E-06   0.534649E-05   0.102420E-07   0.544203E-12   0.534649E-05   0.617376E-03
    61   0.222862E-09  -0.301607E-12   0.233378E-09   0.101323E-07  -0.301607E-12   0.295585E-13  -0.410599E-12   0.504707E-12   0.233378E-09  -0.410599E-12   0.127599E-06   0.537625E-05   0.101323E-07   0.504707E-12   0.537625E-05   0.631111E-03
    62   0.225903E-09  -0.346883E-12   0.229460E-09   0.100228E-07  -0.346883E-12   0.310277E-13  -0.409803E-12   0.492031E-12   0.229460E-09  -0.409803E-12   0.126946E-06   0.540417E-05   0.100228E-07   0.492031E-12   0.540417E-05   0.644717E-03
    63   0.228968E-09  -0.393869E-12   0.225642E-09   0.991372E-08  -0.393869E-12   0.325339E-13  -0.420166E-12   0.502738E-12   0.225642E-09  -0.420166E-12   0.126286E-06   0.543035E-05   0.991372E-08   0.502738E-12   0.543035E-05   0.658198E-03
    64   0.232052E-09  -0.442531E-12   0.221920E-09   0.980509E-08  -0.442531E-12   0.340765E-13  -0.438417E-12   0.533394E-12   0.221920E-09  -0.438417E-12   0.125621E-06   0.545488E-05   0.980509E-08   0.533394E-12   0.545488E-05   0.671556E-03
    65   0.235152E-09  -0.492843E-12   0.218293E-09   0.969705E-08  -0.492843E-12   0.356551E-13  -0.461286E-12   0.580561E-12   0.218293E-09  -0.461286E-12   0.124951E-06   0.547786E-05   0.969705E-08   0.580561E-12   0.547786E-05   0.684793E-03
    66   0.238271E-09  -0.544808E-12   0.214758E-09   0.958972E-08  -0.544808E-12   0.372684E-13  -0.485505E-12   0.640803E-12   0.214758E-09  -0.485505E-12   0.124278E-06   0.549937E-05   0.958972E-08   0.640803E-12   0.549937E-05   0.697910E-03
    67   0.241413E-09  -0.598437E-12   0.211313E-09   0.948323E-08  -0.598437E-12   0.389156E-13  -0.507803E-12   0.710686E-12   0.211313E-09  -0.507803E-12   0.123601E-06   0.551952E-05   0.948323E-08   0.710686E-12   0.551952E-05   0.710912E-03
    68   0.244580E-09  -0.653743E-12   0.207956E-09   0.937768E-08  -0.653743E-12   0.405956E-13  -0.525501E-12   0.786604E-12   0.207956E-09  -0.525501E-12   0.122923E-06   0.553839E-05   0.937768E-08   0.786604E-12   0.553839E-05   0.723799E-03
    69   0.247780E-09  -0.710737E-12   0.204684E-09   0.927312E-08  -0.710737E-12   0.423074E-13  -0.538284E-12   0.864281E-12   0.204684E-09  -0.538284E-12   0.122242E-06   0.555605E-05   0.927312E-08   0.864281E-12   0.555605E-05   0.736576E-03
